ticker,open,high,low,close,volume,percentchange,sent,date
AMD,19.5,21.65,19.48,20.68,145083600,-11.02564103,0.777777778,6-Nov-18
AMD,21.42,22.22,21.07,21.84,121115700,-3.734827264,0.571428571,7-Nov-18
AMD,21.77,22.08,20.97,21.2,92387500,-1.423977951,0.483870968,8-Nov-18
AMD,20.77,21.19,20.11,21.03,85900700,-2.022147328,0.846153846,9-Nov-18
AMD,20.68,20.85,18.8,19.03,95948100,-0.82205029,0.793103448,12-Nov-18
AMD,19.28,20.02,18.97,19.61,76125900,-3.838174274,0.875457875,13-Nov-18
AMD,20.18,21.11,19.76,20.81,106344200,-4.60852329,0.652173913,14-Nov-18
AMD,20.4,20.59,19.09,19.11,93578200,-0.931372549,0.175,19-Nov-18
AMD,17.4,19.58,17.18,19.21,109869400,-12.52873563,0.652173913,20-Nov-18
AMD,20.05,20.31,18.5,18.73,81585600,-1.296758105,-0.105590062,21-Nov-18
AMD,18.61,19.83,18.56,19.38,54611200,-6.555615261,0.466666667,23-Nov-18
AMD,19.96,20.19,19.11,20.08,83210900,-1.152304609,0.477477477,26-Nov-18
,,,,,,,,
