ticker,date,open,high,low,close,volume,percentchange
BABA,6-Nov-18,145.87,149.96,145.325,147.44,17849800,-2.803866456
BABA,7-Nov-18,150.77,152.8,148.94,152.5,17884300,-1.346421702
BABA,8-Nov-18,150.99,151.88,146.69,148.99,17067000,-0.589443009
BABA,9-Nov-18,145.57,145.72,142.48,144.85,16220000,-0.103043209
BABA,12-Nov-18,145.01,146.41,139.97,142.82,16516400,-0.965450659
BABA,13-Nov-18,144.83,149.94,143.91,146.98,19575000,-3.528274529
BABA,14-Nov-18,150.21,152.15,148.44,150.44,21785900,-1.291525198
BABA,15-Nov-18,152.9,157.4,150.89,156.22,30083400,-2.943100065
BABA,16-Nov-18,155.04,155.8,152.14,154.1,20039300,-0.490196078
BABA,19-Nov-18,152.02,153.21,148.77,149.53,18087800,-0.782791738
BABA,20-Nov-18,144.48,148.07,142.82,145.98,19473100,-2.484772979
BABA,21-Nov-18,149.06,151.48,148.65,149.41,14718500,-1.623507312
BABA,22-Nov-18,149.41,149.41,149.41,149.41,0,0
BABA,23-Nov-18,147.3,151.17,147,150.33,7437400,-2.627291242
BABA,26-Nov-18,153.21,156.53,152.37,156.01,16152600,-2.166960381
BABA,27-Nov-18,154.64,157.94,153.58,156.46,17911800,-2.133988619
