ticker,date,open,high,low,close,volume,percentchange
IQ,6-Nov-18,21.07,22.14,21.03,21.48,7105000,-5.078310394
IQ,7-Nov-18,22.03,22.28,21.52,21.95,4714300,-1.13481616
IQ,8-Nov-18,21.7,22.02,20.75,20.87,5611900,-1.474654378
IQ,9-Nov-18,20.25,20.25,19.7,20,6532100,0
IQ,12-Nov-18,19.95,20,19.22,19.57,5416700,-0.250626566
IQ,13-Nov-18,19.98,20.78,19.81,20.32,7228800,-4.004004004
IQ,14-Nov-18,20.74,21.14,19.85,20.4,6984300,-1.928640309
IQ,15-Nov-18,20.42,21.19,19.98,21.08,5933200,-3.770812929
IQ,16-Nov-18,20.96,21.25,20.41,20.8,5548600,-1.383587786
IQ,19-Nov-18,20.55,20.7,19.5,19.53,7155900,-0.729927007
IQ,20-Nov-18,18.65,19.47,18.49,19.09,5551500,-4.396782842
IQ,21-Nov-18,19.64,20.64,19.6,20.36,6337600,-5.091649695
IQ,22-Nov-18,20.36,20.36,20.36,20.36,0,0
IQ,23-Nov-18,19.95,20.44,19.49,19.7,3802500,-2.456140351
IQ,26-Nov-18,20.09,20.45,19.85,20.13,4262100,-1.791936287
IQ,27-Nov-18,19.89,20.29,19.74,19.87,4802800,-2.011060835
