ticker,date,open,high,low,close,volume,percentchange
JD,6-Nov-18,24.1,24.47,23.45,23.6,10323300,-1.53526971
JD,7-Nov-18,24.02,24.16,23.47,24.07,10476600,-0.582847627
JD,8-Nov-18,23.85,23.87,22.38,22.4,17331500,-0.083857442
JD,9-Nov-18,22,22.48,21.58,21.7,17573400,-2.181818182
JD,12-Nov-18,21.92,22.38,21.46,22.01,14257100,-2.098540146
JD,13-Nov-18,22.24,22.79,22.17,22.39,14807600,-2.473021583
JD,14-Nov-18,22.75,23.08,22.5,22.76,11823900,-1.450549451
JD,15-Nov-18,22.9,24.27,22.81,24.2,24377700,-5.982532751
JD,16-Nov-18,23.68,24,22.6,23.05,23225800,-1.351351351
JD,19-Nov-18,22.45,22.83,20.93,21.11,42137000,-1.692650334
JD,20-Nov-18,20.48,20.5,19.27,19.49,41354900,-0.09765625
JD,21-Nov-18,20,20.69,19.92,20.34,29173300,-3.45
JD,22-Nov-18,20.34,20.34,20.34,20.34,0,0
JD,23-Nov-18,19.86,19.88,19.21,19.27,18858100,-0.100704935
JD,26-Nov-18,19.76,20.78,19.75,20.46,22571700,-5.16194332
JD,27-Nov-18,20.19,21.03,20.11,20.84,14539300,-4.160475483
