ticker,date,open,high,low,close,volume,percentchange
MU,6-Nov-18,39.74,40.56,39.56,39.8,19319100,-2.063412179
MU,7-Nov-18,40.32,41.05,39.96,40.93,22957200,-1.810515873
MU,8-Nov-18,40.67,41.43,40.34,40.44,15609300,-1.868699287
MU,9-Nov-18,39.89,39.99,38.41,39.11,26102700,-0.250689396
MU,12-Nov-18,38.24,38.53,36.835,37.44,24822300,-0.758368201
MU,13-Nov-18,37.66,38.74,37.44,37.85,25870400,-2.867764206
MU,14-Nov-18,38.62,38.97,37.61,38.03,23706400,-0.906266183
MU,15-Nov-18,37.95,40.175,37.62,39.91,30046000,-5.862977602
MU,16-Nov-18,38.45,39.71,38.33,39.44,25445700,-3.276983095
MU,19-Nov-18,39.2,39.32,36.67,36.83,31039100,-0.306122449
MU,20-Nov-18,34.1,36.99,34.05,36.12,38728600,-8.475073314
MU,21-Nov-18,37,37.22,36.37,36.38,22728300,-0.594594595
MU,22-Nov-18,36.38,36.38,36.38,36.38,0,0
MU,23-Nov-18,35.93,37.5,35.92,36.4,11257700,-4.36960757
MU,26-Nov-18,37.75,37.79,35.525,36.57,26569700,-0.105960265
MU,27-Nov-18,36.09,37.45,36.02,37,21397300,-3.768356886
