id,ticker,sent,msg,comment,t,/,2,0,1,8,-,1,1,-,2,6,.,c,s,v
146164408,MU,Bullish,"$MU Writing calls,  guaranteed profits!!",,,,,,,,,,,,,,,,,
146164372,MU,Bullish,"$NVDA NVDA is doing much better than $MU, $AMD and $CLX. It&#39;s not that weak. ",,,,,,,,,,,,,,,,,
146164337,MU,Bearish,$MU I think micron shareholders have much lower average lifespans.,,,,,,,,,,,,,,,,,
146163948,MU,Bullish,$MU I&#39,ll buy back at 28-32 range, GLTA!,,,,,,,,,,,,,,,
146163369,MU,Bearish,$MU Wonder how many things said by the bulls here were also said by Lehman/AIG/Citigroup shareholders in 2008,,,,,,,,,,,,,,,,,
146163049,MU,Bullish,$MU Don&#39,t confuse current price with the value of the firm.,,,,,,,,,,,,,,,,
146161908,MU,Bullish,$MU a lot of sellers will be eating their plate of regret in a few months,,,,,,,,,,,,,,,,,
146160326,MU,Bullish,"$MU Guys, I&#39;ve seen it for 25 years, on both pumping up and steaming out manipulation from large institutional holders. Fundamentals intact!",,,,,,,,,,,,,,,,,
146160316,MU,Bearish,"&quot;Crippled crypto&quot; in red🔻
$btc.x $amd $mu

Affecting $soxs $soxx $soxl $vix",,,,,,,,,,,,,,,,,
146160251,MU,Bearish,$MU oh man this just doesn’t get any better.. we should get real close to 30$ this week.. if you all listened you bought those 15$ puts,,,,,,,,,,,,,,,,,
146159374,MU,Bullish,$MU Oh man.. 😂,,,,,,,,,,,,,,,,,
146165115,JD,Bullish,$JD sell now this is your chance to get out blah blah blah,,,,,,,,,,,,,,,,,
146164976,JD,Bullish,$JD Can anyone imagine what it will look like when Liu case is officially dropped? We will get 20% up in one day.,,,,,,,,,,,,,,,,,
146164628,JD,Bullish,$JD Possible leak about Liu innocence.,,,,,,,,,,,,,,,,,
146164338,JD,Bullish,$JD hope you shorties get fckd from now  on and pss of,,,,,,,,,,,,,,,,,
146163613,JD,Bullish,$JD,,,,,,,,,,,,,,,,,
146163524,JD,Bullish,$JD this is how im going to feel when it gets back to 35 💸💸,,,,,,,,,,,,,,,,,
146162816,JD,Bullish,$JD,,,,,,,,,,,,,,,,,
146162540,JD,Bullish,$JD People who bought calls,,,,,,,,,,,,,,,,,
146162466,JD,Bullish,$BABA $JD $BZUN making big moves $MOMO trailing on no news $MOMO scalp - earnings 12/5,,,,,,,,,,,,,,,,,
146161283,JD,Bullish,$JD going higher,,,,,,,,,,,,,,,,,
146160971,JD,Bullish,"Top Gainers:

 $SPEX $ANY $DGAZ $KOLD $TLP $JKS $MYND $STNG  $AMPE $SDPI $AMRS $RCKT $Z $RGSE $ZG $GME $JD",,,,,,,,,,,,,,,,,
146160228,JD,Bullish,$JD uhhhh nice,,,,,,,,,,,,,,,,,
146159934,JD,Bullish,$BABA $WB $SINA $KWEB $JD Beautiful day as I believe we have found a new floor,,,,,,,,,,,,,,,,,
146159839,JD,Bullish,$JD This has been so oversold. Any good trade news and this could rage over $25-30,,,,,,,,,,,,,,,,,
146166444,BABA,Bullish,$BABA Still holding my shares in BABA since the start of 2018.. It&#39,s been one hell of a ride but I never left the rollercoaster because BABA,,,,,,,,,,,,,,,,
146166167,BABA,Bullish,$BABA $160+++ this week?,,,,,,,,,,,,,,,,,
146163733,BABA,Bullish,$BABA Bought stock.,,,,,,,,,,,,,,,,,
146162629,BABA,Bullish,$SPY Monday after Thanksgiving is usually down so the moves today are def not Bearsih for the trade $AAPL $BABA $AMZN $NFLX $FB $QQQ $CRM,,,,,,,,,,,,,,,,,
146162466,BABA,Bullish,$BABA $JD $BZUN making big moves $MOMO trailing on no news $MOMO scalp - earnings 12/5,,,,,,,,,,,,,,,,,
146161661,BABA,Bullish,"$SPY Bulls staying strong thru the selling, Shorts may have to cover into EU close as Tech keeps moving higher $BABA $AMZN $NFLX $AAPL",,,,,,,,,,,,,,,,,
146161582,BABA,Bullish,$BABA BUY BUY BUY,,,,,,,,,,,,,,,,,
146161529,BABA,Bullish,$BABA $230 by End of year! Load up!,,,,,,,,,,,,,,,,,
146160878,BABA,Bullish,$BABA people are going nutz right now hedge fund manager shorting all Chinese company’s just jumped out of building in manhattan,,,,,,,,,,,,,,,,,
146160491,BABA,Bearish,$BABA China just threw a top Chinese internet celebrity (over 1 mil follower) into prison. They didn&#39,t like way she sang National Anthem.,,,,,,,,,,,,,,,,
146159934,BABA,Bullish,$BABA $WB $SINA $KWEB $JD Beautiful day as I believe we have found a new floor,,,,,,,,,,,,,,,,,
146164607,IQ,Bullish,"$IQ Just watched an political analysts saying that China is very interested in making a deal.  Yes sir, bring it.",,,,,,,,,,,,,,,,,
146160362,IQ,Bullish,"$IQ lookin good , iq and chill",,,,,,,,,,,,,,,,,
146158778,IQ,Bullish,$IQ time 2 buy Chinese stocks across the board... before eoy.. next year I do believe we have a run up..,,,,,,,,,,,,,,,,,
146155634,IQ,Bullish,$IQ DeNa is a huge deal,,,,,,,,,,,,,,,,,
146155176,IQ,Bullish,$IQ Yeah...this is actually happening.,,,,,,,,,,,,,,,,,
146152298,IQ,Bullish,$IQ,,,,,,,,,,,,,,,,,
146151956,IQ,Bullish,$IQ yeeeep,,,,,,,,,,,,,,,,,
146147232,IQ,Bullish,"$IQ see the chart of Baidu, it is in the start the same of IQ.  I am very hopeful to see the same direction. Believe in IQ.",,,,,,,,,,,,,,,,,
146146602,IQ,Bearish,$IQ $BABA $HD $M $GS  let’s be real you all know this is good for a couple of hours.. sell all you can,,,,,,,,,,,,,,,,,
146144596,IQ,Bullish,$IQ the rally beginns in december.. 35$ EOY,,,,,,,,,,,,,,,,,
146144113,IQ,Bullish,$IQ rise 🚀🚀,,,,,,,,,,,,,,,,,
146142708,IQ,Bullish,$IQ 25,,,,,,,,,,,,,,,,,
146140651,IQ,Bullish,$IQ doesn&#39,t bother anymore. I know what I own.,,,,,,,,,,,,,,,,
146140537,IQ,Bullish,"$IQ $MOMO $YY 
Hoping trade issue can be settled. Problem is Trump is not smart enough, to know he’s not smart enough to Alter Global Trade",,,,,,,,,,,,,,,,,
146138226,IQ,Bullish,$IQ LONG dong IQ king kong.... 👍,,,,,,,,,,,,,,,,,
146137607,IQ,Bullish,$IQ Going to be a nice pay day here :),,,,,,,,,,,,,,,,,
146137240,IQ,Bullish,$IQ LONG!,,,,,,,,,,,,,,,,,
146136904,IQ,Bullish,$IQ $NIO gapping up (Blog idea). Eyes on $SOLO as well (EV sector).,,,,,,,,,,,,,,,,,
146136632,IQ,Bullish,$BABA $IQ $HUYA $JD $bili Bears looking at futures tonight,,,,,,,,,,,,,,,,,
146136192,IQ,Bearish,$IQ pig,,,,,,,,,,,,,,,,,
146135959,IQ,Bullish,"$IQ  
IQIYI Inc (IQ) Stake Increased by Credit Suisse AG 
https://www.fairfieldcurrent.com/2018/11/24/iqiyi-inc-iq-stake-increased-by-credit-suisse-ag.html",,,,,,,,,,,,,,,,,
146135906,IQ,Bullish,"$IQ  
11,475 Shares in IQIYI Inc (IQ) Purchased by American National Insurance Co. TX 
https://www.fairfieldcurrent.com/2018/11/25/american-national-insurance-co-tx-takes-position-in-iqiyi-inc-iq.html",,,,,,,,,,,,,,,,,
146166642,TLRY,Bullish,"9 Marijuana Stocks Listed on the NASDAQ

https://mjobserver.com/investments/stocks/9-marijuana-stocks-listed-on-the-nasdaq/

$NDAQ $MJ $HMMJ.CA $TLRY $GWPH $CRON",,,,,,,,,,,,,,,,,
146166186,TLRY,Bearish,$TLRY the value of his stock is probably about $50,,,,,,,,,,,,,,,,,
146166077,TLRY,Bearish,"$TLRY this is the most overvalued marijuana stock in the market. Come January, $MJ ETF is selling off a large chunk of its Tilray shares.",,,,,,,,,,,,,,,,,
146165268,TLRY,Bullish,$CGC $ACB $CRON $TLRY You guys take a look at Organigram great MJ producer profitable already as per previous ER,,,,,,,,,,,,,,,,,
146164300,TLRY,Bearish,$TLRY Weed stocks will go the way of crypto...,,,,,,,,,,,,,,,,,
146162859,TLRY,Bearish,$TLRY 34 trading days until market flooded with Tilray shares that are currently in a 180 day IPO lockup. January 15th. Tick. Tick.,,,,,,,,,,,,,,,,,
